timestamp,latitude,longitude,wind_u,wind_v,current_u,current_v
2026-09-19T00:00:00Z,19.125,71.85,5.2,-1.8,0.571,-0.185
2026-09-19T01:00:00Z,19.125,71.85,5.2,-1.8,0.356,-0.182
2026-09-19T02:00:00Z,19.125,71.85,5.2,-1.8,0.182,-0.356
2026-09-19T03:00:00Z,19.125,71.85,5.2,-1.8,0.185,-0.571
2026-09-19T04:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.7
2026-09-19T05:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.7
2026-09-19T06:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.7
2026-09-19T07:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.7
2026-09-19T08:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.5
2026-09-19T09:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.5
2026-09-19T10:00:00Z,19.125,71.85,5.2,-1.8,0.185,-0.571
2026-09-19T11:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.5
2026-09-19T12:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.5
2026-09-19T13:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.5
2026-09-19T14:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.5
2026-09-19T15:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.5
2026-09-19T16:00:00Z,19.125,71.85,5.2,-1.8,0.0,-0.5
2026-09-19T17:00:00Z,19.125,71.85,5.2,-1.8,0.185,-0.571
2026-09-19T18:00:00Z,19.125,71.85,5.2,-1.8,0.185,-0.571
2026-09-19T19:00:00Z,19.125,71.85,5.2,-1.8,0.354,-0.354
2026-09-19T20:00:00Z,19.125,71.85,5.2,-1.8,0.356,-0.182
2026-09-19T21:00:00Z,19.125,71.85,5.2,-1.8,0.5,0.0
2026-09-19T22:00:00Z,19.125,71.85,5.2,-1.8,0.5,0.0
2026-09-19T23:00:00Z,19.125,71.85,5.2,-1.8,0.7,0.0
2026-09-20T00:00:00Z,19.125,71.85,5.2,-1.8,0.7,0.0
2026-09-20T01:00:00Z,19.125,71.85,5.2,-1.8,0.7,0.0
2026-09-20T02:00:00Z,19.125,71.85,5.2,-1.8,0.571,-0.185
2026-09-20T03:00:00Z,19.125,71.85,5.2,-1.8,0.354,-0.354
2026-09-20T04:00:00Z,19.125,71.85,5.2,-1.8,0.336,-0.497
2026-09-20T05:00:00Z,19.125,71.85,5.2,-1.8,0.169,-0.679
2026-09-20T06:00:00Z,19.125,71.85,5.2,-1.8,0.172,-0.883
2026-09-20T07:00:00Z,19.125,71.85,5.2,-1.8,0.0,-1.1
2026-09-20T08:00:00Z,19.125,71.85,5.2,-1.8,0.0,-1.1
